english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
exist (animate),いる,,exist (animate),動物が山にいます。,,vocabulary,動詞 (Verbs)
"exist (inanimate), have",ある,,"exist (inanimate), have",本が家にあります。,,vocabulary,動詞 (Verbs)
become,なる,,become,大きくなります。,,vocabulary,動詞 (Verbs)
happen,起こる,,happen,悪い事が起こります。,,vocabulary,動詞 (Verbs)
go,行く,,go,山に行きます。,,vocabulary,動詞 (Verbs)
come,来る,,come,人が家に来ます。,,vocabulary,動詞 (Verbs)
move,動く,,move,動物が動きます。,,vocabulary,動詞 (Verbs)
enter,入る,,enter,家に入ります。,,vocabulary,動詞 (Verbs)
exit,出る,,exit,家から出ます。,,vocabulary,動詞 (Verbs)
stop,止める,,stop,動きを止めます。,,vocabulary,動詞 (Verbs)
make,作る,,make,食べ物を作ります。,,vocabulary,動詞 (Verbs)
use,使う,,use,物を使います。,,vocabulary,動詞 (Verbs)
cut,切る,,cut,木を切ります。,,vocabulary,動詞 (Verbs)
eat,食べる,,eat,夜に食べます。,,vocabulary,動詞 (Verbs)
drink,飲む,,drink,水を飲みます。,,vocabulary,動詞 (Verbs)
sleep,寝る,,sleep,夜に寝ます。,,vocabulary,動詞 (Verbs)
wear,着る,,wear,服を着ます。,,vocabulary,動詞 (Verbs)
sit,座る,,sit,家で座ります。,,vocabulary,動詞 (Verbs)
stand,立つ,,stand,外で立ちます。,,vocabulary,動詞 (Verbs)
live,生きる,,live,動物は水で生きます。,,vocabulary,動詞 (Verbs)
die,死ぬ,,die,植物が死にます。,,vocabulary,動詞 (Verbs)
begin,始まる,,begin,日が始まります。,,vocabulary,動詞 (Verbs)
end,終わる,,end,日が終わります。,,vocabulary,動詞 (Verbs)
open,開く,,open,目が開きます。,,vocabulary,動詞 (Verbs)
close,閉める,,close,目を閉めます。,,vocabulary,動詞 (Verbs)
break (intransitive),壊れる,,break (intransitive),機械が壊れます。,,vocabulary,動詞 (Verbs)
change (intransitive),変わる,,change (intransitive),空の色が変わります。,,vocabulary,動詞 (Verbs)
give,与える,,give,動物に食べ物を与えます。,,vocabulary,動詞 (Verbs)
receive,もらう,,receive,人から本をもらいます。,,vocabulary,動詞 (Verbs)
"have, hold",持つ,,"have, hold",本を持ちます。,,vocabulary,動詞 (Verbs)
meet,会う,,meet,人に会います。,,vocabulary,動詞 (Verbs)
wait,待つ,,wait,人を待ちます。,,vocabulary,動詞 (Verbs)
help,助ける,,help,人を助けます。,,vocabulary,動詞 (Verbs)
protect,守る,,protect,子供を守ります。,,vocabulary,動詞 (Verbs)
fight,戦う,,fight,必要な物のために戦います。,,vocabulary,動詞 (Verbs)
choose,選ぶ,,choose,食べ物を選びます。,,vocabulary,動詞 (Verbs)
search,探す,,search,道を探します。,,vocabulary,動詞 (Verbs)
buy,買う,,buy,食べ物を買います。,,vocabulary,動詞 (Verbs)
say,言う,,say,名前を言います。,,vocabulary,動詞 (Verbs)
write,書く,,write,本に書きます。,,vocabulary,動詞 (Verbs)
read,読む,,read,本を読みます。,,vocabulary,動詞 (Verbs)
teach,教える,,teach,人に言葉を教えます。,,vocabulary,動詞 (Verbs)
think,考える,,think,事を考えます。,,vocabulary,動詞 (Verbs)
laugh,笑う,,laugh,人と笑います。,,vocabulary,動詞 (Verbs)
cry,泣く,,cry,子供が泣きます。,,vocabulary,動詞 (Verbs)
good,良い,,good,この本は良いです。,,vocabulary,特徴 (Qualities)
bad,悪い,,bad,空が悪いです。,,vocabulary,特徴 (Qualities)
big,大きい,,big,あの山は大きいです。,,vocabulary,特徴 (Qualities)
long,長い,,long,この道は長いです。,,vocabulary,特徴 (Qualities)
"high, tall, expensive",高い,,"high, tall, expensive",この建物は高いです。,,vocabulary,特徴 (Qualities)
heavy,重い,,heavy,この石は重いです。,,vocabulary,特徴 (Qualities)
strange,変,,strange,この音は変です。,,vocabulary,特徴 (Qualities)
"clean, pretty",きれい,,"clean, pretty",この山はきれいです。,,vocabulary,特徴 (Qualities)
strong,強い,,strong,あの人は強いです。,,vocabulary,特徴 (Qualities)
fun,楽しい,,fun,人と会うのは楽しいです。,,vocabulary,特徴 (Qualities)
different,違う,,different,この色は違います。,,vocabulary,特徴 (Qualities)
other,他,,other,他の人に聞きます。,,vocabulary,特徴 (Qualities)
new,新しい,,new,新しい本を買います。,,vocabulary,特徴 (Qualities)
fast,速い,,fast,あの動物は速いです。,,vocabulary,特徴 (Qualities)
color,色,,color,この空の色はきれいです。,,vocabulary,色 (Colors)
white,白,,white,この石は白いです。,,vocabulary,色 (Colors)
black,黒,,black,その空は黒いです。,,vocabulary,色 (Colors)
red,赤,,red,火は赤いです。,,vocabulary,色 (Colors)
blue,青,,blue,空は青いです。,,vocabulary,色 (Colors)
yellow,黄色,,yellow,太陽は黄色いです。,,vocabulary,色 (Colors)
green,緑,,green,草は緑です。,,vocabulary,色 (Colors)
bright,明るい,,bright,外は明るいです。,,vocabulary,色 (Colors)
know,知る,,know,その名前を知っています。,,vocabulary,感覚 (Mental & Senses)
feel,感じる,,feel,風を感じます。,,vocabulary,感覚 (Mental & Senses)
see,見る,,see,空を見ます。,,vocabulary,感覚 (Mental & Senses)
"hear, listen",聞く,,"hear, listen",音を聞きます。,,vocabulary,感覚 (Mental & Senses)
"think, feel (opinion)",思う,,"think, feel (opinion)",それは良いと思います。,,vocabulary,感覚 (Mental & Senses)
want (thing),欲しい,,want (thing),新しい本が欲しいです。,,vocabulary,感覚 (Mental & Senses)
necessary,必要,,necessary,水は必要です。,,vocabulary,感覚 (Mental & Senses)
like,好き,,like,動物が好きです。,,vocabulary,感覚 (Mental & Senses)
scary,怖い,,scary,その話は怖いです。,,vocabulary,感覚 (Mental & Senses)
sad,悲しい,,sad,その話は悲しいです。,,vocabulary,感覚 (Mental & Senses)
get angry,怒る,,get angry,父が怒ります。,,vocabulary,感覚 (Mental & Senses)
word,言葉,,word,この言葉が分かりません。,,vocabulary,伝達 (Communication)
name,名前,,name,あなたの名前を教えてください。,,vocabulary,伝達 (Communication)
sound,音,,sound,変な音が聞こえます。,,vocabulary,伝達 (Communication)
"time, when",時,,"time, when",食べる時、手を使います。,,vocabulary,時間 (Time)
now,今,,now,今、食べます。,,vocabulary,時間 (Time)
before,前,,before,食べる前に水を飲みます。,,vocabulary,時間 (Time)
after,後,,after,食べた後、家に行きます。,,vocabulary,時間 (Time)
every,毎,,every,毎日水を飲みます。,,vocabulary,時間 (Time)
day,日,,day,良い日です。,,vocabulary,時間 (Time)
year,年,,year,新しい年が始まります。,,vocabulary,時間 (Time)
night,夜,,night,夜、空に月が見えます。,,vocabulary,時間 (Time)
"house, home",家,,"house, home",私の家は大きいです。,,vocabulary,空間 (Space)
"above, up",上,,"above, up",山の上に人がいます。,,vocabulary,空間 (Space)
"below, down",下,,"below, down",木の下に何かあります。,,vocabulary,空間 (Space)
"inside, middle",中,,"inside, middle",家の中に物があります。,,vocabulary,空間 (Space)
right,右,,right,右に建物があります。,,vocabulary,空間 (Space)
left,左,,left,左に山があります。,,vocabulary,空間 (Space)
near,近い,,near,山は家から近いです。,,vocabulary,空間 (Space)
here,ここ,,here,ここに座ってください。,,vocabulary,空間 (Space)
there,そこ,,there,そこに何がありますか？,,vocabulary,空間 (Space)
where,どこ,,where,海はどこですか？,,vocabulary,空間 (Space)
one,一,,one,一つください。,,vocabulary,量と論理 (Quantities & Logic)
two,二,,two,人が二り来ます。,,vocabulary,量と論理 (Quantities & Logic)
three,三,,three,三つください。,,vocabulary,量と論理 (Quantities & Logic)
five,五,,five,人が五人います。,,vocabulary,量と論理 (Quantities & Logic)
ten,十,,ten,十日待ちます。,,vocabulary,量と論理 (Quantities & Logic)
many,多い,,many,ここは人が多いです。,,vocabulary,量と論理 (Quantities & Logic)
all,全部,,all,全部食べました。,,vocabulary,量と論理 (Quantities & Logic)
"not, don't have",ない,,"not, don't have",お金がないです。,,vocabulary,量と論理 (Quantities & Logic)
"can, be able",できる,,"can, be able",これは一りでできます。,,vocabulary,量と論理 (Quantities & Logic)
and,と,,and,水と食べ物をください。,,vocabulary,つなぎ言葉 (Connectors)
or,または,,or,水または飲み物をください。,,vocabulary,つなぎ言葉 (Connectors)
but,でも,,but,小さいです。でも強いです。,,vocabulary,つなぎ言葉 (Connectors)
"from, because",から,,"from, because",寒いから、家にいます。,,vocabulary,つなぎ言葉 (Connectors)
"until, to",まで,,"until, to",夜まで待ちます。,,vocabulary,つなぎ言葉 (Connectors)
if,なら,,if,時があるなら、外に行きます。,,vocabulary,つなぎ言葉 (Connectors)
only,だけ,,only,水だけ飲みます。,,vocabulary,つなぎ言葉 (Connectors)
also,も,,also,私も行きます。,,vocabulary,つなぎ言葉 (Connectors)
more,もっと,,more,もっと食べたいです。,,vocabulary,つなぎ言葉 (Connectors)
already,もう,,already,もう食べました。,,vocabulary,つなぎ言葉 (Connectors)
"still, yet",まだ,,"still, yet",まだ食べていません。,,vocabulary,つなぎ言葉 (Connectors)
very,とても,,very,この食べ物はとても良いです。,,vocabulary,つなぎ言葉 (Connectors)
a little,少し,,a little,少し待ってください。,,vocabulary,つなぎ言葉 (Connectors)
excuse me,すみません,,excuse me,すみません、道を教えてください。,,vocabulary,大切な表現 (Essential Expressions)
thank you,ありがとう,,thank you,ありがとう。助かりました。,,vocabulary,大切な表現 (Essential Expressions)
please (give me),ください,,please (give me),水をください。,,vocabulary,大切な表現 (Essential Expressions)
yes,はい,,yes,はい、分かりました。,,vocabulary,大切な表現 (Essential Expressions)
please (go ahead),どうぞ,,please (go ahead),どうぞ、座ってください。,,vocabulary,大切な表現 (Essential Expressions)
how,どう,,how,これはどう使いますか？,,vocabulary,大切な表現 (Essential Expressions)
when,いつ,,when,いつ来ますか？,,vocabulary,大切な表現 (Essential Expressions)
why,なぜ,,why,なぜ行きませんか？,,vocabulary,大切な表現 (Essential Expressions)
this,これ,,this,これは何ですか？,,vocabulary,大切な表現 (Essential Expressions)
that,それ,,that,それをください。,,vocabulary,大切な表現 (Essential Expressions)
this (+noun),この,,this (+noun),この本は良いです。,,vocabulary,大切な表現 (Essential Expressions)
that (+noun),その,,that (+noun),その食べ物は何ですか？,,vocabulary,大切な表現 (Essential Expressions)
"true, real",本当,,"true, real",本当ですか？,,vocabulary,大切な表現 (Essential Expressions)
The verb always comes last. Subject - Object - Verb.,語順 (Word Order),,,,,grammar,第1: 文の作り方 (Sentence Basics) > 語順 (Word Order) [explanation]
I read a book. (I + book + read),私は 本を 読みます,,,,,grammar,第1: 文の作り方 (Sentence Basics) > 語順 (Word Order)
"Equates two things. です = polite, だ = casual. じゃない = negative. でした = past.",です / だ,,,,,grammar,第1: 文の作り方 (Sentence Basics) > です / だ [explanation]
This is a book → not a book → was a book,これは本です → 本じゃない → 本でした,,,,,grammar,第1: 文の作り方 (Sentence Basics) > です / だ
Marks what you are talking about.,は (wa) — topic,,,,,grammar,第2: 助詞 (Particles) > は (wa) — topic [explanation]
This book is good.,この本は良いです。,,,,,grammar,第2: 助詞 (Particles) > は (wa) — topic
Marks who/what does the action.,が (ga) — subject,,,,,grammar,第2: 助詞 (Particles) > が (ga) — subject [explanation]
Who is coming?,誰が来ますか？,,,,,grammar,第2: 助詞 (Particles) > が (ga) — subject
Marks what the action is done to.,を (o) — object,,,,,grammar,第2: 助詞 (Particles) > を (o) — object [explanation]
I drink water.,水を飲みます。,,,,,grammar,第2: 助詞 (Particles) > を (o) — object
"Where you go, when something happens, where something exists.",に (ni) — direction / time / location,,,,,grammar,第2: 助詞 (Particles) > に (ni) — direction / time / location [explanation]
I go to the mountain. / I eat at night. / There is a person in the house.,山に行きます。 / 夜に食べます。 / 家に人がいます。,,,,,grammar,第2: 助詞 (Particles) > に (ni) — direction / time / location
"Where you do something, or what you use to do it.",で (de) — location of action / means,,,,,grammar,第2: 助詞 (Particles) > で (de) — location of action / means [explanation]
I read at home. / I eat with my hands.,家で読みます。 / 手で食べます。,,,,,grammar,第2: 助詞 (Particles) > で (de) — location of action / means
Connects nouns. Like 's in English.,の (no) — possession,,,,,grammar,第2: 助詞 (Particles) > の (no) — possession [explanation]
My book,私の本,,,,,grammar,第2: 助詞 (Particles) > の (no) — possession
"Replaces は, が, or を to mean ""also.""",も (mo) — also,,,,,grammar,第2: 助詞 (Particles) > も (mo) — also [explanation]
Father reads. Mother also reads.,父は本を読みます。母も読みます。,,,,,grammar,第2: 助詞 (Particles) > も (mo) — also
Lists items together.,と (to) — and,,,,,grammar,第2: 助詞 (Particles) > と (to) — and [explanation]
I bought water and a book.,水と本を買いました。,,,,,grammar,第2: 助詞 (Particles) > と (to) — and
"Starting point (place/time), or reason.",から (kara) — from / because,,,,,grammar,第2: 助詞 (Particles) > から (kara) — from / because [explanation]
"I go from home. / Because it's cold, I stay home.",家から行きます。 / 寒いから、家にいます。,,,,,grammar,第2: 助詞 (Particles) > から (kara) — from / because
End point in time or place. Pairs with から.,まで (made) — until / to,,,,,grammar,第2: 助詞 (Particles) > まで (made) — until / to [explanation]
I go from home to the mountain. / I wait until night.,家から山まで行きます。 / 夜まで待ちます。,,,,,grammar,第2: 助詞 (Particles) > まで (made) — until / to
"U-verbs: end in う-row. Ru-verbs: end in える/いる. Irregular: する, 来る.",三つの種類 (Three Types),,,,,grammar,第3: 動詞の形 (Verb Forms) > 三つの種類 (Three Types) [explanation]
"U-verbs: buy, write, search — Ru-verbs: eat, see",う: 買う、書く、探す — る: 食べる、見る,,,,,grammar,第3: 動詞の形 (Verb Forms) > 三つの種類 (Three Types)
"ます / ません / ました. ましょう = let's. Ru: drop る, add ます. U: い-row + ます.",ます形 (Polite),,,,,grammar,第3: 動詞の形 (Verb Forms) > ます形 (Polite) [explanation]
eat / don't eat / ate / let's eat,食べます / 食べません / 食べました / 食べましょう,,,,,grammar,第3: 動詞の形 (Verb Forms) > ます形 (Polite)
"Connects actions, makes requests (て+ください), shows ongoing state (て+いる). Change て→た for past tense.",て形 (Te-Form),,,,,grammar,第3: 動詞の形 (Verb Forms) > て形 (Te-Form) [explanation]
eat → / buy → / drink → / write →,る → て: 食べて / う・つ・る → って: 買って / む・ぶ → んで: 飲んで / く → いて: 書いて,,,,,grammar,第3: 動詞の形 (Verb Forms) > て形 (Te-Form)
Please wait. / I am reading now. / I ate. (て→た = past),待ってください。 / 今、読んでいます。 / 食べた。,,,,,grammar,第3: 動詞の形 (Verb Forms) > て形 (Te-Form)
"Ru: drop る, add ない. U: あ-row + ない. ある → ない.",ない形 (Negative),,,,,grammar,第3: 動詞の形 (Verb Forms) > ない形 (Negative) [explanation]
don't eat / don't buy / don't write,食べない / 買わない / 書かない,,,,,grammar,第3: 動詞の形 (Verb Forms) > ない形 (Negative)
"Ru: drop る, add られる. U: え-row + る. する → できる. Expresses ability.",られる形 (Potential),,,,,grammar,第3: 動詞の形 (Verb Forms) > られる形 (Potential) [explanation]
can eat / can go / can see,食べられる / 行ける / 見える,,,,,grammar,第3: 動詞の形 (Verb Forms) > られる形 (Potential)
"End in い. Change い → くない (neg), かった (past), くて (and).",い形容詞,,,,,grammar,第4: 様子の言葉 (Adjectives) > い形容詞 [explanation]
big → not big → was big,大きい → 大きくない → 大きかった,,,,,grammar,第4: 様子の言葉 (Adjectives) > い形容詞
"Add な before nouns. じゃない (neg), だった (past).",な形容詞,,,,,grammar,第4: 様子の言葉 (Adjectives) > な形容詞 [explanation]
necessary thing / not necessary / was necessary,必要な物 / 必要じゃない / 必要だった,,,,,grammar,第4: 様子の言葉 (Adjectives) > な形容詞
い-adj: い → くなる. な-adj/noun: + になる. Change of state.,〜くなる / 〜になる,,,,,grammar,第4: 様子の言葉 (Adjectives) > 〜くなる / 〜になる [explanation]
It becomes hot. / It becomes necessary.,暑くなります。 / 必要になります。,,,,,grammar,第4: 様子の言葉 (Adjectives) > 〜くなる / 〜になる
Verb stem + すぎる. い-adj: drop い + すぎる. Too much of something.,〜すぎる,,,,,grammar,第4: 様子の言葉 (Adjectives) > 〜すぎる [explanation]
I eat too much. / It is too expensive.,食べすぎます。 / 高すぎます。,,,,,grammar,第4: 様子の言葉 (Adjectives) > 〜すぎる
Verb stem + たい = want to do. 欲しい = want a thing.,〜たい / 欲しい,,,,,grammar,第5: 使い方 (Patterns) > 〜たい / 欲しい [explanation]
I want to go / I want a new book,行きたい / 新しい本が欲しい,,,,,grammar,第5: 使い方 (Patterns) > 〜たい / 欲しい
たら = when/if something happens (verb た + ら). なら = if it's the case.,たら / なら,,,,,grammar,第5: 使い方 (Patterns) > たら / なら [explanation]
"If it rains, I won't go. / If you have time, please come.",雨が降ったら、行きません。 / 時があるなら、来てください。,,,,,grammar,第5: 使い方 (Patterns) > たら / なら
sentence + と + 思う (think) or 言う (say). Reports thoughts and speech.,と思う / と言う,,,,,grammar,第5: 使い方 (Patterns) > と思う / と言う [explanation]
"I think it is good. / They said ""I'll go.""",良いと思います。 / 「行く」と言いました。,,,,,grammar,第5: 使い方 (Patterns) > と思う / と言う
て + も + いい = may do. て + は + いけない = must not do.,てもいい / てはいけない,,,,,grammar,第5: 使い方 (Patterns) > てもいい / てはいけない [explanation]
May I sit? / You must not enter.,座ってもいいですか？ / 入ってはいけません。,,,,,grammar,第5: 使い方 (Patterns) > てもいい / てはいけない
か = question. ね = right? よ = you know!,か / ね / よ,,,,,grammar,第6: 聞き方 (Questions) > か / ね / よ [explanation]
"Is this a book? / Nice day, isn't it?",これは本ですか？ / 良い日ですね。,,,,,grammar,第6: 聞き方 (Questions) > か / ね / よ
Place the question word where the answer would go.,何・誰・どこ・いつ・なぜ,,,,,grammar,第6: 聞き方 (Questions) > 何・誰・どこ・いつ・なぜ [explanation]
What will you eat? / Where is the mountain?,何を食べますか？ / 山はどこですか？,,,,,grammar,第6: 聞き方 (Questions) > 何・誰・どこ・いつ・なぜ
Put a verb or sentence before a noun to describe it. The core of word-building.,verb + noun (Relative Clauses),,,,,grammar,第7: 修飾 (Modification) > verb + noun (Relative Clauses) [explanation]
person who teaches = teacher / place where you buy = shop,教える人 = 先生 / 買う場所 = 店,,,,,grammar,第7: 修飾 (Modification) > verb + noun (Relative Clauses)
person who reads books,本を読む人,,,,,grammar,第7: 修飾 (Modification) > verb + noun (Relative Clauses)
adult,大人,大人,大 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"one person, alone",一人,一人,一 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
two people,二人,二人,二 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
men and women,男女,男女,男 + 女,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"boy, male",男子,男子,男 + 子,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"girl, female",女子,女子,女 + 子,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
parents,父母,父母,父 + 母,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
father and child,父子,父子,父 + 子,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
mother and child,母子,母子,母 + 子,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
eldest son,長男,長男,長 + 男,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
eldest daughter,長女,長女,長 + 女,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
newcomer,新人,新人,新 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
the person in question,本人,本人,本 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"stranger, others",他人,他人,他 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
acquaintance,知人,知人,知 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"master, expert",名人,名人,名 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
villain,悪人,悪人,悪 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
eccentric,変人,変人,変 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
young man,青年,青年,青 + 年,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
human life,人生,人生,人 + 生,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"person, character",人物,人物,人 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
population,人口,人口,人 + 口,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
"workforce, help",人手,人手,人 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
public gaze,人目,人目,人 + 目,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
Japanese person,日本人,日本人,日 + 本 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
foreigner,外国人,外国人,外 + 国 + 人,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 人 (People)
vast sky,大空,大空,大 + 空,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
blue sky,青空,青空,青 + 空,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
large tree,大木,大木,大 + 木,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
grove of trees,木立,木立,木 + 立,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
volcano,火山,火山,火 + 山,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
high mountain,高山,高山,高 + 山,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
mountain path,山道,山道,山 + 道,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
in the mountains,山中,山中,山 + 中,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
mountain entrance,山口,山口,山 + 口,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
shortcut,近道,近道,近 + 道,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
national highway,国道,国道,国 + 道,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
water supply,水道,水道,水 + 道,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
underwater,水中,水中,水 + 中,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
seawater,海水,海水,海 + 水,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
on the sea,海上,海上,海 + 上,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
great ocean,大海,大海,大 + 海,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
heavy rain,大雨,大雨,大 + 雨,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
flood,大水,大水,大 + 水,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
great fire,大火,大火,大 + 火,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
volcanic crater,火口,火口,火 + 口,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
strong wind,強風,強風,強 + 風,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
gold mine,金山,金山,金 + 山,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 自然 (Nature & Geography)
sunlight,日光,日光,日 + 光,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
moonlight,月光,月光,月 + 光,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
moonlit night,月夜,月夜,月 + 夜,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
