id,category_id,minihongo,english,japanese,definition_minihongo,english_litteral,example_minihongo,example_english,example_japanese,sort_order,audio_word,audio_example
word-20,cat-3,火【ひ】,fire,炎、火,暑【あつ】くて明【あか】るいもの,,火【ひ】は暑【あつ】い。,Fire is hot.,火は暑い。,20,w_hi.mp3,w_hi_ex.mp3
word-21,cat-3,暑【あつ】い,hot (weather),気温が高い,火【ひ】のような感【かん】じ。寒【さむ】くない。,,外【そと】は暑【あつ】い。,It is hot outside.,外は暑い。,21,w_atsui.mp3,w_atsui_ex.mp3
word-22,cat-3,寒【さむ】い,cold (weather),気温が低い,暑【あつ】くない感【かん】じ,,外【そと】は寒【さむ】い。,It is cold outside.,外は寒い。,22,w_samui.mp3,w_samui_ex.mp3
word-23,cat-3,空気【くうき】,air,空気、大気,見【み】えないけど外【そと】にあるもの。口【くち】と鼻【はな】から入【はい】る。,,外【そと】の空気【くうき】はきれいだ。,The outside air is clean.,外の空気はきれいだ。,23,w_kuuki.mp3,w_kuuki_ex.mp3
word-24,cat-3,風【かぜ】,wind,風、空気の流れ,動【うご】く空気【くうき】,,外【そと】は風【かぜ】が強【つよ】い。,The wind is strong outside.,外は風が強い。,24,w_kaze.mp3,w_kaze_ex.mp3
word-25,cat-3,国【くに】,country,国,多【おお】くの人【ひと】が一【ひと】つになって生【い】きる大【おお】きい所【ところ】,,この国【くに】は大【おお】きい。,This country is big.,この国は大きい。,25,w_kuni.mp3,w_kuni_ex.mp3
word-26,cat-3,所【ところ】,place,場所,人【ひと】や物【もの】がいるところ。ここ、そこ、どこの事【こと】。,,いい所【ところ】を探【さが】す。,I look for a good place.,いい場所を探す。,26,w_basho.mp3,w_basho_ex.mp3
word-27,cat-3,外【そと】,outside,外、外側,家【いえ】の中【なか】でないところ,,外【そと】に行【い】く。,I go outside.,外に行く。,27,w_soto.mp3,w_soto_ex.mp3
word-28,cat-3,太陽【たいよう】,sun,太陽,空【そら】にある大【おお】きい光【ひかり】。日【にち】に出【で】る。,,太陽【たいよう】は空【そら】にある。,The sun is in the sky.,太陽は空にある。,28,w_taiyou.mp3,w_taiyou_ex.mp3
word-29,cat-3,光【ひかり】,light,光、明かり,明【あか】るくて目【め】に見【み】えるもの,,太陽【たいよう】の光【ひかり】が見【み】える。,I can see the sunlight.,太陽の光が見える。,29,w_hikari.mp3,w_hikari_ex.mp3
word-30,cat-3,月【つき】,moon,月,夜【よる】の空【そら】にある明【あか】るい物【もの】,,夜【よる】、月【つき】が見【み】える。,"At night, the moon is visible.",夜、月が見える。,30,w_tsuki.mp3,w_tsuki_ex.mp3
word-31,cat-3,空【そら】,sky,空,上【うえ】を見【み】ると見【み】えるところ,,空【そら】が青【あお】い。,The sky is blue.,空が青い。,31,w_sora.mp3,w_sora_ex.mp3
word-32,cat-3,山【やま】,mountain,山,土【つち】と石【いし】でとても高【たか】くなったところ,,山【やま】に行【い】く。,I go to the mountain.,山に行く。,32,w_yama.mp3,w_yama_ex.mp3
word-33,cat-3,海【うみ】,sea,海、大洋,とても多【おお】くの水【みず】があるところ,,海【うみ】はとても大【おお】きい。,The sea is very big.,海はとても大きい。,33,w_umi.mp3,w_umi_ex.mp3
word-34,cat-3,雨【あめ】,rain,雨,空【そら】から下【した】に来【く】る水【みず】,,雨【あめ】の日【にち】は外【そと】に行【い】かない。,I don't go outside on rainy days.,雨の日は外に行かない。,34,w_ame.mp3,w_ame_ex.mp3
word-35,cat-3,道【みち】,"road, way",道、通り道,人【ひと】が行【い】く長【なが】いところ,,道【みち】を行【い】く。,I go along the road.,道を行く。,35,w_michi.mp3,w_michi_ex.mp3
word-36,cat-4,動物【どうぶつ】,animal,動物,動【うご】ける生【い】き物【もの】。人【ひと】でないもの。,,動物【どうぶつ】が好【す】きだ。,I like animals.,動物が好きだ。,36,w_doubutsu.mp3,w_doubutsu_ex.mp3
word-37,cat-4,草【くさ】,grass,草、植物,土【つち】から出【で】る小【ちい】さい緑【みどり】の生【い】き物【もの】,,草【くさ】が緑【みどり】だ。,The grass is green.,草が緑だ。,37,w_kusa.mp3,w_kusa_ex.mp3
word-38,cat-5,体【からだ】,body,体、身体,人【ひと】や動物【どうぶつ】の全部【ぜんぶ】,,体【からだ】が強【つよ】い。,The body is strong.,体が強い。,38,w_karada.mp3,w_karada_ex.mp3
word-39,cat-5,頭【あたま】,head,頭,体【からだ】の一【いち】番【ばん】上【うえ】。考【かんが】えるところ。,,頭【あたま】で考【かんが】える。,I think with my head.,頭で考える。,39,w_atama.mp3,w_atama_ex.mp3
word-40,cat-5,手【て】,hand,手,物【もの】を持【も】つところ,,手【て】で物【もの】を持【も】つ。,I hold things with my hands.,手で物を持つ。,40,w_te.mp3,w_te_ex.mp3
word-41,cat-5,足【あし】,"foot, leg",足、脚,行【い】く時【とき】に使【つか】うところ,,足【あし】で動【うご】く。,I move with my legs.,足で動く。,41,w_ashi.mp3,w_ashi_ex.mp3
word-42,cat-5,目【め】,eye,目,見【み】るところ,,目【め】で見【み】る。,I see with my eyes.,目で見る。,42,w_me.mp3,w_me_ex.mp3
word-43,cat-5,口【くち】,mouth,口,食【た】べると言【い】うところ,,口【くち】で食【た】べる。,I eat with my mouth.,口で食べる。,43,w_kuchi.mp3,w_kuchi_ex.mp3
word-44,cat-5,耳【みみ】,ear,耳,聞【き】くところ,,耳【みみ】で聞【き】く。,I listen with my ears.,耳で聞く。,44,w_mimi.mp3,w_mimi_ex.mp3
word-45,cat-5,鼻【はな】,nose,鼻,空気【くうき】が入【はい】るところ,,鼻【はな】から空気【くうき】が入【はい】る。,Air enters through the nose.,鼻から空気が入る。,45,w_hana.mp3,w_hana_ex.mp3
word-46,cat-5,心【こころ】,"heart, mind",心、精神,感【かん】じるところ。好【す】きや悲【かな】しいはここ。,,心【こころ】が温【あたた】かい人【ひと】だ。,That person has a warm heart.,心が温かい人だ。,46,w_kokoro.mp3,w_kokoro_ex.mp3
word-47,cat-6,する,do,する、行う,何【なに】かをする事【こと】,,何【なに】をする？,What will you do?,何をする？,47,w_suru.mp3,w_suru_ex.mp3
word-48,cat-6,いる,exist (animate),いる、存在する,生【い】き物【もの】がここにある事【こと】,,動物【どうぶつ】が山【やま】にいる。,There are animals on the mountain.,動物が山にいる。,48,w_iru.mp3,w_iru_ex.mp3
word-49,cat-6,ある,"exist (inanimate), have",ある、持っている,物【もの】がここにある事【こと】,,本【ほん】が家【いえ】にある。,There is a book at home.,本が家にある。,49,w_aru.mp3,w_aru_ex.mp3
word-50,cat-6,なる,become,なる、変化する,他【ほか】のものに変【か】わる事【こと】,,大【おお】きくなる。,It becomes big.,大きくなる。,50,w_naru.mp3,w_naru_ex.mp3
word-51,cat-6,起【お】こる,happen,起こる,新【あたら】しい事【こと】が始【はじ】まる,,悪【わる】い事【こと】が起【お】こる。,Bad things happen.,悪い事が起こる。,51,w_okoru_51.mp3,w_okoru_51_ex.mp3
word-52,cat-6,行【い】く,go,行く,ここからそこに動【うご】く事【こと】,,山【やま】に行【い】く。,I go to the mountain.,山に行く。,52,w_iku.mp3,w_iku_ex.mp3
word-53,cat-6,来【く】る,come,来る,そこからここに動【うご】く事【こと】,,人【ひと】が家【いえ】に来【く】る。,A person comes to the house.,人が家に来る。,53,w_kuru.mp3,w_kuru_ex.mp3
word-54,cat-6,動【うご】く,move,動く,一【ひと】つのところにいない事【こと】,,動物【どうぶつ】が動【うご】く。,The animal moves.,動物が動く。,54,w_ugoku.mp3,w_ugoku_ex.mp3
word-55,cat-6,入【はい】る,enter,入る,外【そと】から中【なか】に行【い】く事【こと】,,家【いえ】に入【はい】る。,I enter the house.,家に入る。,55,w_hairu.mp3,w_hairu_ex.mp3
word-56,cat-6,出【で】る,exit,出る,中【なか】から外【そと】に行【い】く事【こと】,,家【いえ】から出【で】る。,I leave the house.,家から出る。,56,w_deru.mp3,w_deru_ex.mp3
word-57,cat-6,止【と】める,stop,止まる、止める,動【うご】くものを動【うご】かなくする,,動【うご】きを止【と】める。,I stop the movement.,動きを止める。,57,w_tomeru.mp3,w_tomeru_ex.mp3
word-58,cat-6,作【つく】る,make,作る、創る,ないものを新【あたら】しくする,,食【た】べ物【もの】を作【つく】る。,I make food.,食べ物を作る。,58,w_tsukuru.mp3,w_tsukuru_ex.mp3
word-59,cat-6,使【つか】う,use,使う,物【もの】で何【なに】かをする事【こと】,,物【もの】を使【つか】う。,I use things.,物を使う。,59,w_tsukau.mp3,w_tsukau_ex.mp3
word-60,cat-6,切【き】る,cut,切る,一【ひと】つのものを二【ふた】つにする,,木【き】を切【き】る。,I cut a tree.,木を切る。,60,w_kiru_60.mp3,w_kiru_60_ex.mp3
word-61,cat-6,食【た】べる,eat,食べる,口【くち】から物【もの】を体【からだ】の中【なか】に入【い】れる,,夜【よる】に食【た】べる。,I eat at night.,夜に食べる。,61,w_taberu.mp3,w_taberu_ex.mp3
word-62,cat-6,飲【の】む,drink,飲む,水【みず】のようなものを口【くち】から体【からだ】に入【い】れる,,水【みず】を飲【の】む。,I drink water.,水を飲む。,62,w_nomu.mp3,w_nomu_ex.mp3
word-63,cat-6,寝【ね】る,sleep,寝る、眠る,目【め】を閉【し】めて体【からだ】を止【と】める。夜【よる】にする。,,夜【よる】に寝【ね】る。,I sleep at night.,夜に寝る。,63,w_neru.mp3,w_neru_ex.mp3
word-64,cat-6,着【き】る,wear,着る,服【ふく】を体【からだ】に使【つか】う,,服【ふく】を着【き】る。,I put on clothes.,服を着る。,64,w_kiru_64.mp3,w_kiru_64_ex.mp3
word-65,cat-6,座【すわ】る,sit,座る,立【た】たないで体【からだ】を下【した】にする,,家【いえ】で座【すわ】る。,I sit at home.,家で座る。,65,w_suwaru.mp3,w_suwaru_ex.mp3
word-66,cat-6,立【た】つ,stand,立つ,足【あし】で上【うえ】にいる事【こと】,,外【そと】で立【た】つ。,I stand outside.,外で立つ。,66,w_tatsu.mp3,w_tatsu_ex.mp3
word-67,cat-6,生【い】きる,live,生きる,死【し】んでいない事【こと】,,動物【どうぶつ】は水【みず】で生【い】きる。,Animals live on water.,動物は水で生きる。,67,w_ikiru.mp3,w_ikiru_ex.mp3
word-68,cat-6,死【し】ぬ,die,死ぬ,生【い】きるが終【お】わる事【こと】,,草【くさ】が死【し】ぬ。,The grass dies.,草が死ぬ。,68,w_shinu.mp3,w_shinu_ex.mp3
word-69,cat-6,始【はじ】まる,begin,始まる,新【あたら】しく出【で】る事【こと】。前【まえ】にはなかった。,,日【にち】が始【はじ】まる。,The day begins.,日が始まる。,69,w_hajimaru.mp3,w_hajimaru_ex.mp3
word-70,cat-6,終【お】わる,end,終わる,もうない事【こと】。始【はじ】まったものが止【と】まる。,,日【にち】が終【お】わる。,The day ends.,日が終わる。,70,w_owaru.mp3,w_owaru_ex.mp3
word-71,cat-6,開【あ】く,open,開ける、開く,閉【し】まったものの中【なか】が見【み】える事【こと】,,目【め】が開【あ】く。,The eyes open.,目が開く。,71,w_aku.mp3,w_aku_ex.mp3
word-72,cat-6,閉【し】める,close,閉める、閉じる,開【あ】いたものを開【あ】かなくする,,目【め】を閉【し】める。,I close my eyes.,目を閉める。,72,w_shimeru.mp3,w_shimeru_ex.mp3
word-73,cat-6,壊【こわ】れる,break (intransitive),壊れる,物【もの】が悪【わる】くなって使【つか】えなくなる,,物【もの】が壊【こわ】れる。,Things break.,物が壊れる。,73,w_kowareru.mp3,w_kowareru_ex.mp3
word-74,cat-6,変【か】わる,change (intransitive),変わる,前【まえ】と違【ちが】うものになる,,空【そら】の色【いろ】が変【か】わる。,The color of the sky changes.,空の色が変わる。,74,w_kawaru.mp3,w_kawaru_ex.mp3
word-75,cat-6,与【あた】える,give,与える,私【わたし】の物【もの】を他【ほか】の人【ひと】の物【もの】にする,,動物【どうぶつ】に食【た】べ物【もの】を与【あた】える。,I give food to the animals.,動物に食べ物を与える。,75,w_ataeru.mp3,w_ataeru_ex.mp3
word-76,cat-6,もらう,receive,受ける、もらう,他【ほか】の人【ひと】が私【わたし】に物【もの】を与【あた】える事【こと】,,人【ひと】から本【ほん】をもらう。,I receive a book from someone.,人から本をもらう。,76,w_morau.mp3,w_morau_ex.mp3
word-77,cat-6,持【も】つ,"have, hold",持つ、所有する,手【て】に物【もの】がある事【こと】,,本【ほん】を持【も】つ。,I hold a book.,本を持つ。,77,w_motsu.mp3,w_motsu_ex.mp3
word-78,cat-6,会【あ】う,meet,会う,他【ほか】の人【ひと】のところに行【い】って一【ひと】つになる,,人【ひと】に会【あ】う。,I meet a person.,人に会う。,78,w_au.mp3,w_au_ex.mp3
word-79,cat-6,待【ま】つ,wait,待つ,何【なに】かが来【く】るまで動【うご】かない事【こと】,,人【ひと】を待【ま】つ。,I wait for someone.,人を待つ。,79,w_matsu.mp3,w_matsu_ex.mp3
word-80,cat-6,助【たす】ける,help,助ける,できない人【ひと】のためにする事【こと】,,人【ひと】を助【たす】ける。,I help someone.,人を助ける。,80,w_tasukeru.mp3,w_tasukeru_ex.mp3
word-81,cat-6,守【まも】る,protect,守る,悪【わる】いものから人【ひと】や物【もの】を助【たす】ける,,子供【こども】を守【まも】る。,I protect the children.,子供を守る。,81,w_mamoru.mp3,w_mamoru_ex.mp3
word-82,cat-6,戦【たたか】う,fight,戦う,他【ほか】のものと体【からだ】で強【つよ】い事【こと】をする,,必要【ひつよう】な物【もの】のために戦【たたか】う。,I fight for what is necessary.,必要な物のために戦う。,82,w_tatakau.mp3,w_tatakau_ex.mp3
word-83,cat-6,選【えら】ぶ,choose,選ぶ,多【おお】いものの中【なか】から一【ひと】つにする,,食【た】べ物【もの】を選【えら】ぶ。,I choose food.,食べ物を選ぶ。,83,w_erabu.mp3,w_erabu_ex.mp3
word-84,cat-6,探【さが】す,search,探す,欲【ほ】しいものがどこかを見【み】る,,道【みち】を探【さが】す。,I search for the way.,道を探す。,84,w_sagasu.mp3,w_sagasu_ex.mp3
word-85,cat-6,買【か】う,buy,買う,お金【かね】で物【もの】をもらう,,食【た】べ物【もの】を買【か】う。,I buy food.,食べ物を買う。,85,w_kau.mp3,w_kau_ex.mp3
word-86,cat-6,言【い】う,say,言う、話す,口【くち】から言【こと】葉【ば】を出【だ】す,,名前【なまえ】を言【い】う。,I say the name.,名前を言う。,86,w_iu.mp3,w_iu_ex.mp3
word-87,cat-6,書【か】く,write,書く,手【て】で言【こと】葉【ば】を作【つく】る,,本【ほん】に書【か】く。,I write in a book.,本に書く。,87,w_kaku.mp3,w_kaku_ex.mp3
word-88,cat-6,読【よ】む,read,読む,書【か】いたものを目【め】で見【み】て知【し】る,,本【ほん】を読【よ】む。,I read a book.,本を読む。,88,w_yomu.mp3,w_yomu_ex.mp3
word-89,cat-6,教【おし】える,teach,教える,人【ひと】が知【し】らない事【こと】を言【い】う,,人【ひと】に言葉【ことば】を教【おし】える。,I teach words to someone.,人に言葉を教える。,89,w_oshieru.mp3,w_oshieru_ex.mp3
word-90,cat-6,考【かんが】える,think,考える,頭【あたま】の中【なか】で事【こと】をする,,事【こと】を考【かんが】える。,I think about things.,事を考える。,90,w_kangaeru.mp3,w_kangaeru_ex.mp3
word-91,cat-6,笑【わら】う,laugh,笑う,楽【たの】しい時【とき】に口【くち】でする事【こと】,,人【ひと】と笑【わら】う。,I laugh with people.,人と笑う。,91,w_warau.mp3,w_warau_ex.mp3
word-92,cat-6,泣【な】く,cry,泣く,悲【かな】しい時【とき】に目【め】から水【みず】が出【で】る事【こと】,,子供【こども】が泣【な】く。,The child cries.,子供が泣く。,92,w_naku.mp3,w_naku_ex.mp3
word-93,cat-7,良【よ】い,good,良い,好【す】きな感【かん】じ。悪【わる】くない。,,この本【ほん】は良【よ】い。,This book is good.,この本は良い。,93,w_yoi.mp3,w_yoi_ex.mp3
word-94,cat-7,悪【わる】い,bad,悪い,良【よ】くない。好【す】きでない感【かん】じ。,,空【そら】が悪【わる】い。,The weather is bad.,空が悪い。,94,w_warui.mp3,w_warui_ex.mp3
word-95,cat-7,大【おお】きい,big,大きい,多【おお】くのところを使【つか】う,,あの山【やま】は大【おお】きい。,That mountain is big.,あの山は大きい。,95,w_ookii.mp3,w_ookii_ex.mp3
word-96,cat-7,長【なが】い,long,長い,始【はじ】めから終【お】わりまでが大【おお】きい,,この道【みち】は長【なが】い。,This road is long.,この道は長い。,96,w_nagai.mp3,w_nagai_ex.mp3
word-97,cat-7,高【たか】い,"high, tall, expensive",高い,下【した】から上【うえ】まで大【おお】きい,,この建物【たてもの】は高【たか】い。,This building is tall.,この建物は高い。,97,w_takai.mp3,w_takai_ex.mp3
word-98,cat-7,重【おも】い,heavy,重い,持【も】つのに強【つよ】くないとできない,,この石【いし】は重【おも】い。,This stone is heavy.,この石は重い。,98,w_omoi.mp3,w_omoi_ex.mp3
word-99,cat-7,変【へん】,strange,変な、不思議な,他【ほか】のものと違【ちが】う。知【し】らない感【かん】じ。,,この音【おと】は変【へん】だ。,This sound is strange.,この音は変だ。,99,w_hen.mp3,w_hen_ex.mp3
word-100,cat-7,きれい,"clean, pretty",綺麗な、清潔な,見【み】て良【よ】い感【かん】じ,,この山【やま】はきれいだ。,This mountain is beautiful.,この山はきれいだ。,100,w_kirei.mp3,w_kirei_ex.mp3
word-101,cat-7,強【つよ】い,strong,強い,大【おお】きなものを動【うご】かせる,,あの人【ひと】は強【つよ】い。,That person is strong.,あの人は強い。,101,w_tsuyoi.mp3,w_tsuyoi_ex.mp3
word-102,cat-7,楽【たの】しい,fun,楽しい,心【こころ】が良【よ】い感【かん】じ,,人【ひと】と会【あ】うのは楽【たの】しい。,Meeting people is fun.,人と会うのは楽しい。,102,w_tanoshii.mp3,w_tanoshii_ex.mp3
word-103,cat-7,違【ちが】う,different,違う、異なる,二【ふた】つのものが一【ひと】つでない,,この色【いろ】は違【ちが】う。,This color is different.,この色は違う。,103,w_chigau.mp3,w_chigau_ex.mp3
word-104,cat-7,他【ほか】,other,他の、別の,これでもそれでもないもの,,他【ほか】の人【ひと】に聞【き】く。,I ask other people.,他の人に聞く。,104,w_hoka.mp3,w_hoka_ex.mp3
word-105,cat-7,新【あたら】しい,new,新しい,前【まえ】にはなかった。今【いま】できたもの。,,新【あたら】しい本【ほん】を買【か】う。,I buy a new book.,新しい本を買う。,105,w_atarashii.mp3,w_atarashii_ex.mp3
word-106,cat-7,速【はや】い,fast,速い,少【すこ】しの時【とき】に多【おお】く動【うご】ける,,あの動物【どうぶつ】は速【はや】い。,That animal is fast.,あの動物は速い。,106,w_hayai.mp3,w_hayai_ex.mp3
word-107,cat-8,色【いろ】,color,色,目【め】で見【み】える違【ちが】い,,この空【そら】の色【いろ】はきれいだ。,The color of this sky is beautiful.,この空の色はきれいだ。,107,w_iro.mp3,w_iro_ex.mp3
word-108,cat-8,白【しろ】,white,白,光【ひかり】の色【いろ】,,この石【いし】は白【しろ】い。,This stone is white.,この石は白い。,108,w_shiro.mp3,w_shiro_ex.mp3
word-109,cat-8,黒【くろ】,black,黒,光【ひかり】がない色【いろ】,,その空【そら】は黒【くろ】い。,That sky is black.,その空は黒い。,109,w_kuro.mp3,w_kuro_ex.mp3
word-110,cat-8,赤【あか】,red,赤,火【ひ】の色【いろ】,,火【ひ】は赤【あか】い。,Fire is red.,火は赤い。,110,w_aka.mp3,w_aka_ex.mp3
word-111,cat-8,青【あお】,blue,青,空【そら】の色【いろ】,,空【そら】は青【あお】い。,The sky is blue.,空は青い。,111,w_ao.mp3,w_ao_ex.mp3
word-112,cat-8,黄色【きいろ】,yellow,黄色,光【ひかり】のような明【あか】るい色【いろ】,,この光【ひかり】は黄色【きいろ】い。,This light is yellow.,この光は黄色い。,112,w_kiiro.mp3,w_kiiro_ex.mp3
word-113,cat-8,緑【みどり】,green,緑,草【くさ】の色【いろ】,,草【くさ】は緑【みどり】だ。,The grass is green.,草は緑だ。,113,w_midori.mp3,w_midori_ex.mp3
word-114,cat-8,明【あか】るい,bright,明るい,光【ひかり】が多【おお】い,,外【そと】は明【あか】るい。,It is bright outside.,外は明るい。,114,w_akarui.mp3,w_akarui_ex.mp3
word-115,cat-9,知【し】る,know,知る、理解する,頭【あたま】の中【なか】にある事【こと】,,その名前【なまえ】を知【し】っている。,I know that name.,その名前を知っている。,115,w_shiru.mp3,w_shiru_ex.mp3
word-116,cat-9,感【かん】じる,feel,感じる,体【からだ】や心【こころ】で何【なに】かを知【し】る,,風【かぜ】を感【かん】じる。,I feel the wind.,風を感じる。,116,w_kanjiru.mp3,w_kanjiru_ex.mp3
word-117,cat-9,見【み】る,see,見る,目【め】を使【つか】う事【こと】,,空【そら】を見【み】る。,I look at the sky.,空を見る。,117,w_miru.mp3,w_miru_ex.mp3
word-118,cat-9,聞【き】く,"hear, listen",聞く,耳【みみ】を使【つか】う事【こと】,,音【おと】を聞【き】く。,I listen to sounds.,音を聞く。,118,w_kiku.mp3,w_kiku_ex.mp3
word-119,cat-9,思【おも】う,"think, feel (opinion)",思う,心【こころ】の中【なか】で考【かんが】える,,それは良【よ】いと思【おも】う。,I think that is good.,それは良いと思う。,119,w_omou.mp3,w_omou_ex.mp3
word-120,cat-9,欲【ほ】しい,want (thing),欲しい,それを持【も】ちたい感【かん】じ,,新【あたら】しい本【ほん】が欲【ほ】しい。,I want a new book.,新しい本が欲しい。,120,w_hoshii.mp3,w_hoshii_ex.mp3
word-121,cat-9,必要【ひつよう】,necessary,必要な,ないと悪【わる】い事【こと】になる,,水【みず】は必要【ひつよう】だ。,Water is necessary.,水は必要だ。,121,w_hitsuyou.mp3,w_hitsuyou_ex.mp3
word-122,cat-9,好【す】き,like,好き,心【こころ】が良【よ】くなるもの,,動物【どうぶつ】が好【す】きだ。,I like animals.,動物が好きだ。,122,w_suki.mp3,w_suki_ex.mp3
word-123,cat-9,怖【こわ】い,scary,怖い,悪【わる】い事【こと】が来【く】ると思【おも】う感【かん】じ,,その話【はなし】は怖【こわ】い。,That story is scary.,その話は怖い。,123,w_kowai.mp3,w_kowai_ex.mp3
word-124,cat-9,悲【かな】しい,sad,悲しい,心【こころ】が重【おも】い感【かん】じ。泣【な】きたい。,,その話【はなし】は悲【かな】しい。,That story is sad.,その話は悲しい。,124,w_kanashii.mp3,w_kanashii_ex.mp3
word-125,cat-9,怒【おこ】る,get angry,怒る,悪【わる】い事【こと】があって心【こころ】が強【つよ】くなる,,父【ちち】が怒【おこ】る。,Father gets angry.,父が怒る。,125,w_okoru_125.mp3,w_okoru_125_ex.mp3
word-126,cat-10,言葉【ことば】,word,言葉,人【ひと】が言【い】うもの。口【くち】から出【で】る音【おと】。,,この言葉【ことば】が分【わ】からない。,I don't understand this word.,この言葉が分からない。,126,w_kotoba.mp3,w_kotoba_ex.mp3
word-127,cat-10,名前【なまえ】,name,名前,人【ひと】や物【もの】だけの言【こと】葉【ば】,,あなたの名前【なまえ】を教【おし】えてください。,Please tell me your name.,あなたの名前を教えてください。,127,w_namae.mp3,w_namae_ex.mp3
word-128,cat-10,音【おと】,sound,音,耳【みみ】で聞【き】くもの,,変【へん】な音【おと】を聞【き】く。,I hear a strange sound.,変な音を聞く。,128,w_oto.mp3,w_oto_ex.mp3
word-129,cat-11,時【とき】,"time, when",時、時間,前【まえ】から今【いま】、今【いま】から後【あと】までの事【こと】,,食【た】べる時【とき】、手【て】を使【つか】う。,"When eating, I use my hands.",食べる時、手を使う。,129,w_toki.mp3,w_toki_ex.mp3
word-130,cat-11,今【いま】,now,今,この時【とき】,,今【いま】、食【た】べる。,I eat now.,今、食べる。,130,w_ima.mp3,w_ima_ex.mp3
